Adhesive Bandage,バンソウコウ,"Your average adhesive
bandage.
Restores 20 HP to one ally.",Lunge,トツゲキ,"Medium Phys dmg to an
area of foes.",Shibuya Crossing,I am the pillager of twilight—[1B]T1%s[1B]R!,"You need my help once more?
Very well, use my power wisely."
未作成テキスト,アイテム４９８,未作成テキスト,Angelic Grace,ダイテンシノカゴ,"Increases Evasion from Fire/Ice/
Wind/Elec/Nuke/Psy/Bless/Curse
attacks.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム４９９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Dirty Phone Case,アイテム５００,"Might be worth some
money.",Gun Boost,セイミツシャゲキ,"Strengthens Gun attacks.
Stacks with Gun Amp.",未作成テキスト,未作成テキスト,未作成テキスト
Shiny Mini Bag,アイテム５０１,"Might be worth some
money.",Gun Amp,キュウショウチ,"Greatly strengthens Gun attacks.
Stacks with Gun Boost.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５０２,未作成テキスト,Fire Boost,カエンブースタ,"Strengthens Fire attacks.
Stacks with Fire Amp.",未作成テキスト,未作成テキスト,未作成テキスト
Cute Wallet,アイテム５０３,"Might be worth some
money.",Fire Amp,カエンハイブースタ,"Greatly strengthens Fire attacks.
Stacks with Fire Boost.",未作成テキスト,未作成テキスト,未作成テキスト
Stopped Watch,アイテム５０４,"Might be worth some
money.",Ice Boost,ヒョウケツブースタ,"Strengthens Ice attacks.
Stacks with Ice Amp.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５０５,未作成テキスト,Ice Amp,ヒョウケツハイブースタ,"Greatly strengthens Ice attacks.
Stacks with Ice Boost.",未作成テキスト,未作成テキスト,未作成テキスト
Rusty Necklace,アイテム５０６,"Might be worth some
money.",Wind Boost,シップウブースタ,"Strengthens Wind attacks.
Stacks with Wind Amp.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５０７,未作成テキスト,Wind Amp,シップウハイブースタ,"Greatly strengthens Wind attacks.
Stacks with Wind Boost.",未作成テキスト,未作成テキスト,未作成テキスト
Lovely Empty Bottle,アイテム５０８,"Might be worth some
money.",Elec Boost,デンゲキブースタ,"Strengthens Elec attacks.
Stacks with Elec Amp.",未作成テキスト,未作成テキスト,未作成テキスト
Sandy Doll,アイテム５０９,"Might be worth some
money.",Elec Amp,デンゲキハイブースタ,"Greatly strengthens Elec attacks.
Stacks with Elec Boost.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５１０,未作成テキスト,Psy Boost,ネンドウブースタ,"Strengthens Psy attacks.
Stacks with Psy Amp.",未作成テキスト,未作成テキスト,未作成テキスト
Butterfly Fan,アイテム５１１,"Might be worth some
money.",Psy Amp,ネンドウハイブースタ,"Greatly strengthens Psy attacks.
Stacks with Psy Boost.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５１２,未作成テキスト,Nuke Boost,カクネツブースタ,"Strengthens Nuke attacks.
Stacks with Nuke Amp.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５１３,未作成テキスト,Nuke Amp,カクネツハイブースタ,"Greatly strengthens Nuke attacks.
Stacks with Nuke Boost.",未作成テキスト,未作成テキスト,未作成テキスト
Elegant Paper Crane,アイテム５１４,"Might be worth some
money.",Bless Boost,シュクフクブースタ,"Strengthens Bless attacks.
Stacks with Bless Amp.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５１５,未作成テキスト,Bless Amp,シュクフクハイブースタ,"Greatly strengthens Bless attacks.
Stacks with Bless Boost.",未作成テキスト,未作成テキスト,未作成テキスト
Sharp Fork,アイテム５１６,"Might be worth some
money.",Curse Boost,ジュオンブースタ,"Strengthens Curse attacks.
Stacks with Curse Amp.",未作成テキスト,未作成テキスト,未作成テキスト
Frozen Spoon,アイテム５１７,"Might be worth some
money.",Curse Amp,ジュオンハイブースタ,"Greatly strengthens Curse attacks.
Stacks with Curse Boost.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５１８,未作成テキスト,Divine Grace,カミガミノカゴ,"Increases the effect of
healing skills.",未作成テキスト,未作成テキスト,未作成テキスト
Flowery Notebook,アイテム５１９,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５２０,未作成テキスト,Arms Master,ブドウノココロエ,Decreases HP cost of skills.,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５２１,未作成テキスト,Spell Master,マジュツノソヨウ,Decreases SP cost of skills.,未作成テキスト,未作成テキスト,未作成テキスト
Pretty Kaleidoscope,アイテム５２２,"Might be worth some
money.",Hama Boost,ハマセイコウリツアップ,"Increases success rate of
Hama skills.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５２３,未作成テキスト,Mudo Boost,ムドセイコウリツアップ,"Increases success rate of
Mudo skills.",未作成テキスト,未作成テキスト,未作成テキスト
Bent Drain Pipe,アイテム５２４,"Might be worth some
money.",Burn Boost,エンジョウリツアップ,"Increases chance of
inflicting Burn.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５２５,未作成テキスト,Freeze Boost,ヒョウケツリツアップ,"Increases chance of
inflicting Freeze.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５２６,未作成テキスト,Shock Boost,カンデンリツアップ,"Increases chance of
inflicting Shock.",未作成テキスト,未作成テキスト,未作成テキスト
Electrical Connector,アイテム５２７,"Might be worth some
money.",Dizzy Boost,メマイリツアップ,"Increases chance of
inflicting Dizzy.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５２８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５２９,未作成テキスト,Fear Boost,キョウフリツアップ,"Increases chance of
inflicting Fear.",未作成テキスト,未作成テキスト,未作成テキスト
Motherboard,アイテム５３０,"Might be worth some
money.",Forget Boost,ボウキャクリツアップ,"Increases chance of
inflicting Forget.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５３１,未作成テキスト,Sleep Boost,スイミンリツアップ,"Increases chance of
inflicting Sleep.",未作成テキスト,未作成テキスト,未作成テキスト
Festival Lantern,アイテム５３２,"Might be worth some
money.",Rage Boost,ゲキドリツアップ,"Increases chance of
inflicting Rage.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５３３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５３４,未作成テキスト,Brainwash Boost,センノウリツアップ,"Increases chance of
inflicting Brainwash.",未作成テキスト,未作成テキスト,未作成テキスト
Red Lantern,アイテム５３５,"Might be worth some
money.",Ailment Boost,ジョウタイイジョウセイコウリツアップ,"Increases chance of
inflicting ailments.",未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５３６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５３７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Scarlet Haori,アイテム５３８,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５３９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Pretty Megaphone,アイテム５４０,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Belled Collar,アイテム５４１,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５４２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Golden Cat Statue,アイテム５４３,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５４４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５４５,未作成テキスト,Firm Stance,ニオウダチ,"Greatly decreases damage taken,
but auto-evade won't activate.",未作成テキスト,未作成テキスト,未作成テキスト
Forgotten Ring,アイテム５４６,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Pearl Bracelet,アイテム５４７,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
White Sunglasses,アイテム５４８,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
Flaxen Umbrella,アイテム５４９,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト
未作成テキスト,アイテム５５０,未作成テキスト,Attack Master,コウゲキノココロエ,"Activates Tarukaja at the
start of battle.",未作成テキスト,[1B]Z,[1B]Z
Corsage Mask,アイテム５５１,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５５２,未作成テキスト,Defense Master,ボウギョノココロエ,"Activates Rakukaja at the
start of battle.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５５３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Sword Stick,アイテム５５４,"Might be worth some
money.",Speed Master,スバヤサノココロエ,"Activates Sukukaja at the
start of battle.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５５５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Black Clutch Bag,アイテム５５６,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Rainbow Penlight,アイテム５５７,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５５８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Old Projector,アイテム５５９,"Might be worth some
money.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６０,未作成テキスト,Regenerate 1,ショウチユソクシン,"Gradually restores HP.
Minimum effect. Stacks with
other Regenerate skills.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６１,未作成テキスト,Regenerate 2,チュウチユソクシン,"Gradually restores HP.
Minor effect. Stacks with
other Regenerate skills.",未作成テキスト,[1B]Z,[1B]Z
Skinny Golf Club,アイテム５６２,"Might be worth some
money.",Regenerate 3,ダイチユソクシン,"Gradually restores HP.
Stacks with other Regenerate
skills.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５６９,未作成テキスト,Endure,クイシバリ,"When KO'd, revive with 1 HP
once per battle.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７０,未作成テキスト,Enduring Soul,フクツノトウシ,"When KO'd, revive with full HP
once per battle.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７１,未作成テキスト,Survival Trick,セイカントリック,"Survive insta-kill attacks
with 1 HP.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５７９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Chipped Microchip,アイテム５８０,"A mysterious piece of
data. Worth nothing
at normal stores.",Rebel Soul,ハンギャクノイシ,"Showtime gauge increases
more quickly.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５８１,未作成テキスト,Knockdown Style,ダウンテクニック,"Greatly decreases down gauge of
one foe when landing a Critical.",未作成テキスト,[1B]Z,[1B]Z
Strange Circuit,アイテム５８２,"A mysterious piece of
data. Worth nothing
at normal stores.",Soul Thief,ソウルスティール,"Drains SP when inflicting an
ailment on one foe.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５８３,未作成テキスト,Technical Adept,チョウゼツギコウ,"Increases damage of
Technical hits.",未作成テキスト,[1B]Z,[1B]Z
Integrated Circuit,アイテム５８４,"A mysterious piece of
data. Worth nothing
at normal stores.",Technical High,クリティカルハイ,"Increases duration of Kaja-type
buff skills when landing a Critical.",未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５８５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Strange Disc,アイテム５８６,"A mysterious piece of
data. Worth nothing
at normal stores.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５８７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Suspicious Text Data,アイテム５８８,"A mysterious piece of
data. Worth nothing
at normal stores.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５８９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Vague File List,アイテム５９０,"A mysterious piece of
data. Worth nothing
at normal stores.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Odd Report,アイテム５９１,"A mysterious piece of
data. Worth nothing
at normal stores.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Illegible Document,アイテム５９２,"A mysterious piece of
data. Worth nothing
at normal stores.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５９３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
Unnatural Sample,アイテム５９４,"A mysterious piece of
data. Worth nothing
at normal stores.",未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５９５,未作成テキスト,Analysis,アナライズ,Confirms enemy information.,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５９６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５９７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５９８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム５９９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z
未作成テキスト,アイテム６００,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Tanabata Decoration,アイテム６０１,"A gift from Sendai.
A miniature Tanabata
decoration made with love.",Moral Support,モラルサポート,"Chance to cast Kaja-type buff
skills and HP/SP healing support
during battle.",[1B]Z,[1B]Z,[1B]Z
Wooden Bear Statue,アイテム６０２,"A gift from Sapporo.
The bear is holding a
salmon in its mouth.",Active Support,アクティブサポート,"Chance to cast Charge and
Showtime-gauge-boosting
support during battle.",[1B]Z,[1B]Z,[1B]Z
Shiisaa Ornament,アイテム６０３,"A gift from Okinawa.
They come in a pair. The left
is female, the right is male.",Final Guard,ファイナルガード,"Chance to save an ally from an
otherwise-fatal attack.",[1B]Z,[1B]Z,[1B]Z
Mini Umbrella,アイテム６０４,"A gift from Kyoto.
A cute Japanese umbrella
given to you by Akane.",Moral Boost,モラルブースタ,"Increases the effect of
Moral Support.",[1B]Z,[1B]Z,[1B]Z
Takoyaki Cushion,アイテム６０５,"A gift from Osaka.
It's not edible, but
it looks so tasty...",Active Boost,アクティブブースタ,"Increases Active Support's boosts
to the Showtime gauge.",[1B]Z,[1B]Z,[1B]Z
Ramen Bowl,アイテム６０６,"A gift from Fukuoka.
Serves as proof for
getting five refills.",Moral Boost EX,モラルブースタカイ,"Further increases the effect of
Moral Support.",[1B]Z,[1B]Z,[1B]Z
Cityscape Magnet,アイテム６０７,"A gift from Yokohama.
Reminder of all the good
memories from your trip.",Active Boost EX,アクティブブースタカイ,"Further increases Active Support's
boosts to the Showtime gauge.",[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６０８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６０９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Spiral Bookmark,アイテム６１０,"Proof of fulfilling Lavenza's
request.",Feast Your Eyes,ミンナミテル,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１１,未作成テキスト,How Dare You!,ドイツモコイツモ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１２,未作成テキスト,I'll Break You!,ツブレチャエ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１３,未作成テキスト,Ch. 1: HERO'S JOURNEY,ケッサクシッピツ・エイユウノショウ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１４,未作成テキスト,Ch. 4: A LORD RISES,ダークネス・レクイエム,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１５,未作成テキスト,Ch. 9: REIGN OF CHAOS,ケッサクシッピツ・フウライノショウ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１６,未作成テキスト,Agi,アギ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１７,未作成テキスト,Ink Deluge,スミノアメ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１８,未作成テキスト,Rageblade Frenzy,アーマードスピニングテール,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６１９,未作成テキスト,Shadow Judgement,シャドウ・ジャッジメント,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Lucky Takoyaki,アイテム６２０,"Given to you by Makoto.
Restores 30 HP to all allies.",Glacial Conviction,ブフ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Candy,アイテム６２１,"Getting rewarded is almost
sweeter than the candy.
Restores 30 HP to one ally.",Nightmare Inferno,ナイトメア・インフェルノ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Want-Be-Gone,アイテム６２２,"Given to you by Makoto.
For your inner gentleman.
Cures Brainwash for one ally.",Dracolord Claw,レッシンリュウソウザン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Oroaid,アイテム６２３,"Given to you by Haru. A
drink to help you feel better.
Restores 30 HP to one ally.",Dinnertime,メシノジカンジャア,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Salty Papaya,アイテム６２４,"Given to you by Futaba.
You can taste sodium in it.
Restores 20 SP to one ally.",Quiver and Shiver,コゴエテフルエナ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Rock Salt,アイテム６２５,"Given to you by Yusuke.
Helps beat the summer heat.
Restores 20 HP to one ally.",Bureaucrat Waltz,セイジカハオドルノサ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Mootiful Zunda Soda,アイテム６２６,"So good, it's even beloved
by Lord Masamune himself?
Restores 20 HP to one ally.",Rocket Punch,ロケットパンチ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Primordial Soup,アイテム６２７,"Given to you by Yusuke.
Drinking it takes courage.
Restores 30 HP to one ally.",Prominence Ray,プロミネンス・レイ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Grilled Raw Corn,アイテム６２８,"Given to you by Makoto.
Aren't those antonyms?
Restores 40 HP to one ally.",Supernova,スーパーノヴァ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６２９,未作成テキスト,Megidolaon,メギドラオン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Pretty Seashell,アイテム６３０,"Found at the beach, it gets
prettier every time you see
it. Could be worth money.",未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Sea Glass,アイテム６３１,"A beautiful glass shard with
wave-smoothed edges.
Could be worth money.",Dynamic Meteor,ダイナミック・メテオ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Natural Pearl,アイテム６３２,"A naturally made pearl with
a crooked shape.
Could be worth money.",Agi Bullet,アギダン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６３３,未作成テキスト,Bufu Bullet,ブフダン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６３４,未作成テキスト,Zio Bullet,ジオダン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６３５,未作成テキスト,Garu Bullet,ガルダン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６３６,未作成テキスト,Voltaic Purge,ジョウメツノイカヅチ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６３７,未作成テキスト,Summon Minion α,シトショウカン・アルファ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６３８,未作成テキスト,Summon Minion β,シトショウカン・ベータ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６３９,未作成テキスト,Slice and Dice,ミンチニシテヤル,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Zunda Supreme,アイテム６４０,"A very special parfait
made with a rare type
of edamame.",Justice Slash Alpha,ジャスティスザン・イチシキ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
Meal Ticket,アイテム６４１,"A ticket granting you access
to ramen so legendary, it's
thought to be mythical.",Justice Slash Beta,ジャスティスザン・ニシキ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６４２,未作成テキスト,Justice Slash Omega,ジャスティスザン・サンシキ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６４３,未作成テキスト,Justice Beam,ジャスティス・ビーム,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６４４,未作成テキスト,Justice Strike,ジャスティス・アタック,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６４５,未作成テキスト,Justice Slash Zero,ジャスティスザン・ゼロシキ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６４６,未作成テキスト,Cross Slash,クロス・スラッシュ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６４７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６４８,未作成テキスト,Get Lost!,ミエテルワヨ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６４９,未作成テキスト,Life Leech,チョウキュウケツ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５０,未作成テキスト,Mararagidyne,マララギダイン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５１,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５２,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５３,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５４,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５５,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５６,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５７,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５８,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６５９,未作成テキスト,未作成テキスト,未作成テキスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６６０,未作成テキスト,Rush,トッシン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６６１,未作成テキスト,Bullet Spray,ミダレウチ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６６２,未作成テキスト,Cure Mist,キュアミスト,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６６３,未作成テキスト,Barrage,ソウシャ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６６４,未作成テキスト,Self-Destruct Mode,ジバクモードキドウ,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６６５,未作成テキスト,Missile Salvo,マルチプルミサイル,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
未作成テキスト,アイテム６６６,未作成テキスト,Buster Cannon,バスターキャノン,未作成テキスト,[1B]Z,[1B]Z,[1B]Z
